# ----------------------------------------
# CRS UK - GA4
# Free-form-Free-form 1
# 20250627-20250924
# ----------------------------------------

,,,,Device category,mobile,desktop,tablet,Totals
Date,Landing page,Country,Event name,Session default channel group,Active users,Active users,Active users,Active users
20250703,/refrigerated-container/40ft.html,Italy,session_start,Referral,0,1,0,1
20250703,/refrigerated-container/grade-b-range.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250703,/refrigerated-container/grade-b-range.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250703,/refrigerated-units-lp,Greece,first_visit,Paid Search,1,0,0,1
20250703,/refrigerated-units-lp,Greece,page_view,Paid Search,1,0,0,1
20250703,/refrigerated-units-lp,Greece,session_start,Paid Search,1,0,0,1
20250703,/refrigerated-units-lp,Greece,user_engagement,Paid Search,1,0,0,1
20250703,/refrigerated-units-lp,United Kingdom,any_contact_form_sent,Paid Search,0,1,0,1
20250703,/refrigerated-units-lp,United Kingdom,form_submission,Paid Search,0,1,0,1
20250703,/refrigerated-units-lp,United Kingdom,sent_main_enquiry_form,Paid Search,0,1,0,1
20250703,/refrigeration/chiller-containers/swansea.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250703,/refrigeration/chiller-containers/swansea.html,United Kingdom,scroll,Organic Search,1,0,0,1
20250703,/refrigeration/chiller-containers/swansea.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250703,/refrigeration/cold-rooms/reading.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250703,/refrigeration/cold-rooms/reading.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250703,/refrigeration/cold-rooms/reading.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250703,/refrigeration/cold-storage/blackpool.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250703,/refrigeration/cold-storage/blackpool.html,United Kingdom,scroll,Organic Search,1,0,0,1
20250703,/refrigeration/cold-storage/blackpool.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250703,/refrigeration/cold-storage/blackpool.html,United Kingdom,user_engagement,Organic Search,1,0,0,1
20250703,/refrigeration/cold-storage/glasgow.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250703,/refrigeration/cold-storage/glasgow.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250703,/refrigeration/cold-storage/glasgow.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250703,/refrigeration/cold-storage/liverpool.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250703,/refrigeration/cold-storage/liverpool.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250703,/refrigeration/cold-storage/liverpool.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250703,/refrigeration/cold-storage/manchester.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250703,/refrigeration/cold-storage/manchester.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250703,/refrigeration/cold-storage/manchester.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250703,/refrigeration/refrigerated-containers/belfast.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250703,/refrigeration/refrigerated-containers/belfast.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250703,/refrigeration/refrigerated-containers/peterborough.html,United Kingdom,first_visit,Unassigned,0,1,0,1
20250703,/refrigeration/refrigerated-containers/peterborough.html,United Kingdom,page_view,Unassigned,0,1,0,1
20250703,/refrigeration/refrigerated-containers/peterborough.html,United Kingdom,session_start,Unassigned,0,1,0,1
20250703,/refrigeration/refrigerated-containers/sunderland.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250703,/refrigeration/refrigerated-containers/sunderland.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250703,/refrigeration/refrigerated-containers/sunderland.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250703,/services/commercial-refrigeration.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250703,/services/commercial-refrigeration.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250703,/services/commercial-refrigeration.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250703,/services/crs-services.html,United Kingdom,first_visit,Direct,1,0,0,1
20250703,/services/crs-services.html,United Kingdom,page_view,Direct,1,0,0,1
20250703,/services/crs-services.html,United Kingdom,session_start,Direct,1,0,0,1
20250703,/services/crs-services.html,United States,first_visit,Direct,0,1,0,1
20250703,/services/crs-services.html,United States,page_view,Direct,0,1,0,1
20250703,/services/crs-services.html,United States,session_start,Direct,0,1,0,1
20250703,/services/quayside-reefer-repair.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250703,/services/quayside-reefer-repair.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250703,/services/quayside-reefer-repair.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250703,/storage/cold-stores-rooms.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250703,/storage/cold-stores-rooms.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250703,/storage/cold-stores-rooms.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250703,/storage/meat-lockers.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250703,/storage/meat-lockers.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250703,/storage/meat-lockers.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/,France,first_visit,Organic Search,0,1,0,1
20250704,/,France,page_view,Organic Search,0,1,0,1
20250704,/,France,session_start,Organic Search,0,1,0,1
20250704,/,Ireland,page_view,Referral,0,1,0,1
20250704,/,Ireland,session_start,Referral,0,1,0,1
20250704,/,Palestine,first_visit,Organic Search,0,1,0,1
20250704,/,Palestine,page_view,Organic Search,0,1,0,1
20250704,/,Palestine,session_start,Organic Search,0,1,0,1
20250704,/,United Kingdom,first_visit,Referral,0,1,0,1
20250704,/,United Kingdom,page_view,Referral,0,1,0,1
20250704,/,United Kingdom,session_start,Referral,0,1,0,1
20250704,/,United States,first_visit,Direct,0,1,0,1
20250704,/,United States,page_view,Direct,0,1,0,1
20250704,/,United States,session_start,Direct,0,1,0,1
20250704,/about/what-crs-does.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250704,/about/what-crs-does.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250704,/about/what-crs-does.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250704,/about/what-crs-does.html,United States,first_visit,Direct,0,1,0,1
20250704,/about/what-crs-does.html,United States,page_view,Direct,0,1,0,1
20250704,/about/what-crs-does.html,United States,session_start,Direct,0,1,0,1
20250704,/about/why-use-crs.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250704,/about/why-use-crs.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250704,/about/why-use-crs.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/about/why-use-crs.html,United States,first_visit,Direct,0,1,0,1
20250704,/about/why-use-crs.html,United States,page_view,Direct,0,1,0,1
20250704,/about/why-use-crs.html,United States,session_start,Direct,0,1,0,1
20250704,/archive/coldkit-matrix-coldrooms.html,United Kingdom,any_contact_form_sent,Organic Search,0,1,0,1
20250704,/archive/coldkit-matrix-coldrooms.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250704,/archive/coldkit-matrix-coldrooms.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250704,/archive/coldkit-matrix-coldrooms.html,United Kingdom,sent_main_enquiry_form,Organic Search,0,1,0,1
20250704,/archive/coldkit-matrix-coldrooms.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/blast-freezer,United Kingdom,first_visit,Organic Search,0,1,0,1
20250704,/blast-freezer,United Kingdom,page_view,Organic Search,0,1,0,1
20250704,/blast-freezer,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/blast-freezer/20ftblastfreezer.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250704,/blast-freezer/20ftblastfreezer.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250704,/blast-freezer/20ftblastfreezer.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/blast-freezer/40ft-iso-blast-freezer.html,Ghana,page_view,Organic Search,0,1,0,1
20250704,/blast-freezer/40ft-iso-blast-freezer.html,Ghana,scroll,Organic Search,0,1,0,1
20250704,/blast-freezer/40ft-iso-blast-freezer.html,Ghana,session_start,Organic Search,0,1,0,1
20250704,/blast-freezer/40ft-iso-blast-freezer.html,Ghana,user_engagement,Organic Search,0,1,0,1
20250704,/blast-freezer/40ft-iso-blast-freezer.html,Philippines,first_visit,Organic Search,1,0,0,1
20250704,/blast-freezer/40ft-iso-blast-freezer.html,Philippines,page_view,Organic Search,1,0,0,1
20250704,/blast-freezer/40ft-iso-blast-freezer.html,Philippines,session_start,Organic Search,1,0,0,1
20250704,/blast-freezers-lp,United Kingdom,click,Paid Search,0,1,0,1
20250704,/blast-freezers-lp,United Kingdom,form_start,Paid Search,0,1,0,1
20250704,/blast-freezers-lp,United Kingdom,form_submit,Paid Search,0,1,0,1
20250704,/cold-rooms-lp,Romania,first_visit,Paid Search,1,0,0,1
20250704,/cold-rooms-lp,Romania,page_view,Paid Search,1,0,0,1
20250704,/cold-rooms-lp,Romania,scroll,Paid Search,1,0,0,1
20250704,/cold-rooms-lp,Romania,session_start,Paid Search,1,0,0,1
20250704,/cold-rooms-lp,Romania,user_engagement,Paid Search,1,0,0,1
20250704,/cold-rooms-lp,United Kingdom,form_start,Paid Search,1,0,0,1
20250704,/cold-rooms-lp,United Kingdom,scroll,Cross-network,1,0,0,1
20250704,/cold-rooms/walk-in-fridge.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250704,/cold-rooms/walk-in-fridge.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/cold-stores,India,page_view,Organic Search,0,1,0,1
20250704,/cold-stores,India,session_start,Organic Search,0,1,0,1
20250704,/enquiry,United Kingdom,any_contact_form_sent,Direct,0,1,0,1
20250704,/enquiry,United Kingdom,page_view,Direct,0,1,0,1
20250704,/enquiry,United Kingdom,sent_main_enquiry_form,Direct,0,1,0,1
20250704,/enquiry,United Kingdom,session_start,Direct,0,1,0,1
20250704,/get-in-touch,United Kingdom,info_phone_number_click,Paid Search,1,0,0,1
20250704,/get-in-touch,United Kingdom,scroll,Paid Search,1,0,0,1
20250704,/heated/hotbox.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250704,/heated/hotbox.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250704,/heated/hotbox.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/industry/fish-cold-storage.html,Kenya,first_visit,Organic Search,0,1,0,1
20250704,/industry/fish-cold-storage.html,Kenya,page_view,Organic Search,0,1,0,1
20250704,/industry/fish-cold-storage.html,Kenya,session_start,Organic Search,0,1,0,1
20250704,/industry/food-cold-storage.html,China,first_visit,Direct,1,0,0,1
20250704,/industry/food-cold-storage.html,China,page_view,Direct,1,0,0,1
20250704,/industry/food-cold-storage.html,China,session_start,Direct,1,0,0,1
20250704,/knowledge/meat-cold-storage.html,Serbia,first_visit,Organic Search,0,1,0,1
20250704,/knowledge/meat-cold-storage.html,Serbia,page_view,Organic Search,0,1,0,1
20250704,/knowledge/meat-cold-storage.html,Serbia,session_start,Organic Search,0,1,0,1
20250704,/knowledge/retail-cold-storage.html,Ghana,first_visit,Organic Search,1,0,0,1
20250704,/knowledge/retail-cold-storage.html,Ghana,page_view,Organic Search,1,0,0,1
20250704,/knowledge/retail-cold-storage.html,Ghana,session_start,Organic Search,1,0,0,1
20250704,/knowledge/retail-cold-storage.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250704,/knowledge/retail-cold-storage.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250704,/knowledge/retail-cold-storage.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/news/blast-freezer.html,India,first_visit,Organic Search,1,0,0,1
20250704,/news/blast-freezer.html,India,page_view,Organic Search,1,0,0,1
20250704,/news/blast-freezer.html,India,session_start,Organic Search,1,0,0,1
20250704,/news/carbon-fibre-cold-storage.html,Luxembourg,first_visit,Organic Search,1,0,0,1
20250704,/news/carbon-fibre-cold-storage.html,Luxembourg,page_view,Organic Search,1,0,0,1
20250704,/news/carbon-fibre-cold-storage.html,Luxembourg,session_start,Organic Search,1,0,0,1
20250704,/news/cold-storage-fruit-and-veg.html,India,first_visit,Direct,1,0,0,1
20250704,/news/cold-storage-fruit-and-veg.html,India,page_view,Direct,1,0,0,1
20250704,/news/cold-storage-fruit-and-veg.html,India,session_start,Direct,1,0,0,1
20250704,/news/cold-storage-fruit-and-veg.html,Thailand,first_visit,Organic Search,0,1,0,1
20250704,/news/cold-storage-fruit-and-veg.html,Thailand,page_view,Organic Search,0,1,0,1
20250704,/news/cold-storage-fruit-and-veg.html,Thailand,session_start,Organic Search,0,1,0,1
20250704,/news/crs-certifications.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250704,/news/crs-certifications.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250704,/news/crs-certifications.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250704,/news/dry-aging-meat.html,Austria,first_visit,Organic Search,1,0,0,1
20250704,/news/dry-aging-meat.html,Austria,page_view,Organic Search,1,0,0,1
20250704,/news/dry-aging-meat.html,Austria,session_start,Organic Search,1,0,0,1
20250704,/news/tempering-units.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250704,/news/tempering-units.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250704,/news/tempering-units.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250704,/news/vip-insulation.html,India,first_visit,Organic Search,0,1,0,1
20250704,/news/vip-insulation.html,India,page_view,Organic Search,0,1,0,1
20250704,/news/vip-insulation.html,India,session_start,Organic Search,0,1,0,1
20250704,/news/walk-in-freezer.html,United States,first_visit,Organic Search,1,0,0,1
20250704,/news/walk-in-freezer.html,United States,page_view,Organic Search,1,0,0,1
20250704,/news/walk-in-freezer.html,United States,session_start,Organic Search,1,0,0,1
20250704,/news/what-blast-freezer.html,Malaysia,first_visit,Organic Search,0,1,0,1
20250704,/news/what-blast-freezer.html,Malaysia,page_view,Organic Search,0,1,0,1
20250704,/news/what-blast-freezer.html,Malaysia,session_start,Organic Search,0,1,0,1
20250704,/news/what-blast-freezer.html,Norway,first_visit,Organic Search,1,0,0,1
20250704,/news/what-blast-freezer.html,Norway,page_view,Organic Search,1,0,0,1
20250704,/news/what-blast-freezer.html,Norway,session_start,Organic Search,1,0,0,1
20250704,/news/what-blast-freezer.html,Philippines,first_visit,Organic Search,0,1,0,1
20250704,/news/what-blast-freezer.html,Philippines,page_view,Organic Search,0,1,0,1
20250704,/news/what-blast-freezer.html,Philippines,session_start,Organic Search,0,1,0,1
20250704,/refrigerated-container,United Kingdom,first_visit,Organic Search,1,0,0,1
20250704,/refrigerated-container,United Kingdom,page_view,Organic Search,1,0,0,1
20250704,/refrigerated-container,United Kingdom,session_start,Organic Search,1,0,0,1
20250704,/refrigerated-container/20ft.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250704,/refrigerated-container/20ft.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250704,/refrigerated-container/20ft.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/refrigerated-container/40ft.html,Brazil,first_visit,Organic Search,1,0,0,1
20250704,/refrigerated-container/40ft.html,Brazil,page_view,Organic Search,1,0,0,1
20250704,/refrigerated-container/40ft.html,Brazil,session_start,Organic Search,1,0,0,1
20250704,/refrigerated-container/40ft.html,United Kingdom,any_contact_form_sent,Organic Search,0,1,0,1
20250704,/refrigerated-container/40ft.html,United Kingdom,sent_main_enquiry_form,Organic Search,0,1,0,1
20250704,/refrigerated-units-lp,United Kingdom,click,Paid Search,0,1,0,1
20250704,/refrigerated-units-lp,United Kingdom,first_visit,Cross-network,1,0,0,1
20250704,/refrigerated-units-lp,United Kingdom,page_view,Cross-network,1,0,0,1
20250704,/refrigerated-units-lp,United Kingdom,session_start,Cross-network,1,0,0,1
20250704,/refrigerated-units-lp,United Kingdom,user_engagement,Cross-network,1,0,0,1
20250704,/refrigeration/cold-rooms/birmingham.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250704,/refrigeration/cold-rooms/birmingham.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250704,/refrigeration/cold-rooms/birmingham.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/refrigeration/cold-rooms/london.html,United Arab Emirates,first_visit,Organic Search,0,1,0,1
20250704,/refrigeration/cold-rooms/london.html,United Arab Emirates,page_view,Organic Search,0,1,0,1
20250704,/refrigeration/cold-rooms/london.html,United Arab Emirates,session_start,Organic Search,0,1,0,1
20250704,/refrigeration/commercial-refrigeration/harrogate.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250704,/refrigeration/commercial-refrigeration/harrogate.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250704,/refrigeration/commercial-refrigeration/harrogate.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250704,/refrigeration/refrigerated-containers/cambridge.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250704,/refrigeration/refrigerated-containers/cambridge.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250704,/refrigeration/refrigerated-containers/cambridge.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/refrigeration/refrigerated-containers/devon.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250704,/refrigeration/refrigerated-containers/devon.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250704,/refrigeration/refrigerated-containers/devon.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250704,/refrigeration/refrigerated-containers/dorset.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250704,/refrigeration/refrigerated-containers/dorset.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250704,/refrigeration/refrigerated-containers/dorset.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/refrigeration/refrigerated-containers/liverpool.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250704,/refrigeration/refrigerated-containers/liverpool.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250704,/refrigeration/refrigerated-containers/liverpool.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/refrigeration/refrigerated-storage/cardiff.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250704,/refrigeration/refrigerated-storage/cardiff.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250704,/refrigeration/refrigerated-storage/cardiff.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/refrigeration/refrigerated-storage/leicester.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250704,/refrigeration/refrigerated-storage/leicester.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250704,/refrigeration/refrigerated-storage/leicester.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250704,/services/crs-services.html,United Kingdom,first_visit,Direct,0,1,0,1
20250704,/services/crs-services.html,United Kingdom,page_view,Direct,0,1,0,1
20250704,/services/crs-services.html,United Kingdom,session_start,Direct,0,1,0,1
20250704,/services/crs-services.html,United States,first_visit,Direct,0,1,0,1
20250704,/services/crs-services.html,United States,page_view,Direct,0,1,0,1
20250704,/services/crs-services.html,United States,session_start,Direct,0,1,0,1
20250704,/services/quayside-reefer-repair.html,United Kingdom,page_view,Unassigned,0,1,0,1
20250704,/specialist/climate-controlled.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250704,/specialist/climate-controlled.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250704,/specialist/climate-controlled.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250704,/specialist/loading-dock-facility.html,Greece,first_visit,Organic Search,0,1,0,1
20250704,/specialist/loading-dock-facility.html,Greece,page_view,Organic Search,0,1,0,1
20250704,/specialist/loading-dock-facility.html,Greece,session_start,Organic Search,0,1,0,1
20250704,/specialist/quick-thaw-units.html,United Kingdom,any_contact_form_sent,Referral,0,1,0,1
20250704,/specialist/quick-thaw-units.html,United Kingdom,page_view,Referral,0,1,0,1
20250704,/specialist/quick-thaw-units.html,United Kingdom,sent_main_enquiry_form,Referral,0,1,0,1
20250704,/specialist/quick-thaw-units.html,United Kingdom,session_start,Referral,0,1,0,1
20250704,/storage/freezer-containers.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250704,/storage/freezer-containers.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250704,/storage/freezer-containers.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250705,/,United Kingdom,first_visit,Direct,0,1,0,1
20250705,/,United Kingdom,page_view,Direct,0,1,0,1
20250705,/,United Kingdom,session_start,Direct,0,1,0,1
20250705,/,United States,first_visit,Direct,0,1,0,1
20250705,/,United States,page_view,Direct,0,1,0,1
20250705,/,United States,session_start,Direct,0,1,0,1
20250705,/archive/coldkit-matrix-coldrooms.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250705,/archive/coldkit-matrix-coldrooms.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250705,/archive/coldkit-matrix-coldrooms.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250705,/archive/laboratory-freezers.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250705,/archive/laboratory-freezers.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250705,/archive/laboratory-freezers.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250705,/blast-freezer/10ftblastfreezer.html,United Kingdom,first_visit,Direct,0,1,0,1
20250705,/blast-freezer/10ftblastfreezer.html,United Kingdom,page_view,Direct,0,1,0,1
20250705,/blast-freezer/10ftblastfreezer.html,United Kingdom,session_start,Direct,0,1,0,1
20250705,/blast-freezer/20ftblastfreezer.html,United Arab Emirates,first_visit,Organic Search,1,0,0,1
20250705,/blast-freezer/20ftblastfreezer.html,United Arab Emirates,page_view,Organic Search,1,0,0,1
20250705,/blast-freezer/20ftblastfreezer.html,United Arab Emirates,session_start,Organic Search,1,0,0,1
20250705,/blast-freezer/40ft-iso-blast-freezer.html,Spain,first_visit,Organic Search,1,0,0,1
20250705,/blast-freezer/40ft-iso-blast-freezer.html,Spain,page_view,Organic Search,1,0,0,1
20250705,/blast-freezer/40ft-iso-blast-freezer.html,Spain,session_start,Organic Search,1,0,0,1
20250705,/blast-freezers-lp,(not set),first_visit,Direct,1,0,0,1
20250705,/blast-freezers-lp,(not set),page_view,Direct,1,0,0,1
20250705,/blast-freezers-lp,(not set),session_start,Direct,1,0,0,1
20250705,/blast-freezers-lp,(not set),user_engagement,Direct,1,0,0,1
20250705,/blast-freezers-lp,United Kingdom,click,Paid Search,1,0,0,1
20250705,/blast-freezers-lp,United Kingdom,scroll,Paid Search,1,0,0,1
20250705,/cold-rooms-lp,United Kingdom,click,Paid Search,0,1,0,1
20250705,/cold-rooms-lp,United Kingdom,file_download,Paid Search,0,1,0,1
20250705,/cold-rooms-lp,United Kingdom,first_visit,Cross-network,1,0,0,1
20250705,/cold-rooms/walk-in-fridge.html,United States,first_visit,Organic Search,1,0,0,1
20250705,/cold-rooms/walk-in-fridge.html,United States,page_view,Organic Search,1,0,0,1
20250705,/cold-rooms/walk-in-fridge.html,United States,session_start,Organic Search,1,0,0,1
20250705,/cold-stores,United Kingdom,first_visit,Paid Search,1,0,0,1
20250705,/cold-stores,United Kingdom,page_view,Paid Search,1,0,0,1
20250705,/cold-stores,United Kingdom,session_start,Paid Search,1,0,0,1
20250705,/heated/hotbox.html,United States,first_visit,Organic Search,1,0,0,1
20250705,/heated/hotbox.html,United States,page_view,Organic Search,1,0,0,1
20250705,/heated/hotbox.html,United States,session_start,Organic Search,1,0,0,1
20250705,/news/cold-storage-design.html,Bangladesh,first_visit,Organic Search,0,1,0,1
20250705,/news/cold-storage-design.html,Bangladesh,page_view,Organic Search,0,1,0,1
20250705,/news/cold-storage-design.html,Bangladesh,session_start,Organic Search,0,1,0,1
20250705,/news/tempering-units.html,United Kingdom,first_visit,Referral,0,1,0,1
20250705,/news/tempering-units.html,United Kingdom,page_view,Referral,0,1,0,1
20250705,/news/tempering-units.html,United Kingdom,session_start,Referral,0,1,0,1
20250705,/news/walk-in-fridge.html,Indonesia,first_visit,Organic Search,1,0,0,1
20250705,/news/walk-in-fridge.html,Indonesia,page_view,Organic Search,1,0,0,1
20250705,/news/walk-in-fridge.html,Indonesia,session_start,Organic Search,1,0,0,1
20250705,/news/walk-in-fridge.html,Indonesia,user_engagement,Organic Search,1,0,0,1
20250705,/news/what-blast-freezer.html,Colombia,first_visit,Direct,1,0,0,1
20250705,/news/what-blast-freezer.html,Colombia,page_view,Direct,1,0,0,1
20250705,/news/what-blast-freezer.html,Colombia,session_start,Direct,1,0,0,1
20250705,/news/what-blast-freezer.html,India,first_visit,Organic Search,0,1,0,1
20250705,/news/what-blast-freezer.html,India,page_view,Organic Search,0,1,0,1
20250705,/news/what-blast-freezer.html,India,session_start,Organic Search,0,1,0,1
20250705,/refrigerated-container,United Kingdom,first_visit,Organic Search,1,0,0,1
20250705,/refrigerated-container,United Kingdom,page_view,Organic Search,1,0,0,1
20250705,/refrigerated-container,United Kingdom,session_start,Organic Search,1,0,0,1
20250705,/refrigerated-container/10ft.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250705,/refrigerated-container/10ft.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250705,/refrigerated-container/10ft.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250705,/refrigerated-units-lp,United Kingdom,first_visit,Paid Search,0,1,0,1
20250705,/refrigerated-units-lp,United Kingdom,page_view,Paid Search,0,1,0,1
20250705,/refrigerated-units-lp,United Kingdom,session_start,Paid Search,0,1,0,1
20250705,/refrigeration/cold-rooms/birmingham.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250705,/refrigeration/cold-rooms/birmingham.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250705,/refrigeration/cold-rooms/birmingham.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250705,/refrigeration/cold-rooms/sheffield.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250705,/refrigeration/cold-rooms/sheffield.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250705,/refrigeration/cold-rooms/sheffield.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250705,/refrigeration/cold-storage/bristol.html,United Kingdom,first_visit,Organic Search,0,1,0,1
20250705,/refrigeration/cold-storage/bristol.html,United Kingdom,page_view,Organic Search,0,1,0,1
20250705,/refrigeration/cold-storage/bristol.html,United Kingdom,session_start,Organic Search,0,1,0,1
20250705,/refrigeration/refrigeration-units/glasgow.html,United Kingdom,any_contact_form_sent,Direct,1,0,0,1
20250705,/refrigeration/refrigeration-units/glasgow.html,United Kingdom,first_visit,Direct,1,0,0,1
20250705,/refrigeration/refrigeration-units/glasgow.html,United Kingdom,page_view,Direct,1,0,0,1
20250705,/refrigeration/refrigeration-units/glasgow.html,United Kingdom,sent_main_enquiry_form,Direct,1,0,0,1
20250705,/refrigeration/refrigeration-units/glasgow.html,United Kingdom,session_start,Direct,1,0,0,1
20250705,/storage/freezer-containers.html,United Kingdom,first_visit,Organic Search,1,0,0,1
20250705,/storage/freezer-containers.html,United Kingdom,page_view,Organic Search,1,0,0,1
20250705,/storage/freezer-containers.html,United Kingdom,session_start,Organic Search,1,0,0,1
20250706,(not set),United Kingdom,session_start,Paid Search,0,1,0,1
20250706,(not set),United Kingdom,user_engagement,Paid Search,0,1,0,1
20250706,/,India,first_visit,Organic Search,1,0,0,1
20250706,/,India,page_view,Organic Search,1,0,0,1
20250706,/,India,session_start,Organic Search,1,0,0,1
20250706,/blast-freezer,United Kingdom,first_visit,Organic Search,0,1,0,1
20250706,/blast-freezer,United Kingdom,page_view,Organic Search,0,1,0,1
20250706,/blast-freezer,United Kingdom,session_start,Organic Search,0,1,0,1
